record_id,source_id,text,task,auto_label,auto_confidence,final_label,annotator,is_human_reviewed,human_override,annotation_time_sec,created_at,metadata,signal_Positive,signal_Negative,signal_Neutral
cb877bcd-4d51-4602-bd8e-146e7dee92fd,sentiment_0001,This product is absolutely amazing! Best purchase I've made this year. 😍,sentiment,Positive,0.4286,Positive,auto,False,False,0.0,2026-02-24T16:08:26.076389+00:00,{},3,0,0
37a7bdc1-e840-4112-84fe-3853c12c483f,sentiment_0002,Terrible quality. Broke after 2 days. Complete waste of money. 😠,sentiment,Negative,0.375,Negative,auto,False,False,0.0,2026-02-24T16:08:26.076667+00:00,{},1,3,0
4458ac5c-03c8-4ce9-be7e-bf81d923763b,sentiment_0003,"It's okay. Nothing special, but does the job.",sentiment,Neutral,0.3333,Neutral,auto,False,False,0.0,2026-02-24T16:08:26.076870+00:00,{},0,0,1
8eb328fe-3076-4d8e-a5e5-141de07aee89,sentiment_0004,Fantastic customer service! They resolved my issue in minutes.,sentiment,Negative,0.25,Negative,auto,False,False,0.0,2026-02-24T16:08:26.077051+00:00,{},1,2,0
c0f493a1-0cf1-4e29-bfa8-8521e12190b0,sentiment_0005,Never buying from this store again. Shipment was 3 weeks late!,sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.077231+00:00,{},0,1,0
e81272f1-b373-4190-b086-ee0a9d3bdee3,sentiment_0006,Mediocre product. Average at best.,sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.077378+00:00,{},1,1,1
f0b7c760-6d20-440c-af0f-139e827da0b1,sentiment_0007,Exceeded all my expectations. Outstanding build quality!,sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.077521+00:00,{},2,0,0
2fb93021-96f8-4ea8-adca-b66c5d9269ed,sentiment_0008,Disappointed with the packaging but the product itself is decent.,sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.077657+00:00,{},1,1,0
4b28146d-de15-43d5-9fe4-f510d6e53ec3,sentiment_0009,Great value for money. Highly recommend to anyone looking for a budget option.,sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.077810+00:00,{},2,0,0
fb24c771-3ced-40b2-b29e-72fd5c5c8ab7,sentiment_0010,The item arrived damaged. Very frustrated with this experience.,sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.077965+00:00,{},0,1,0
67c8d5c8-09a6-4740-bc55-b6d0a7cd75c7,sentiment_0011,"Perfect for my needs. Simple, clean design and works perfectly.",sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.078137+00:00,{},2,0,0
e812c9ee-2347-43d8-89ee-97cf24e23ca3,sentiment_0012,Not sure about this one. It has both good and bad aspects.,sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.078315+00:00,{},1,1,1
81294d2d-e60c-450c-ada4-7ad1209db401,sentiment_0013,Absolutely love it! Would give 6 stars if I could! 💯,sentiment,Positive,0.2857,Positive,auto,False,False,0.0,2026-02-24T16:08:26.078479+00:00,{},2,0,0
cc25b09a-ca28-41bb-be39-c79a3291c1a9,sentiment_0014,Poor customer support. Took 3 weeks to get a response.,sentiment,Negative,0.125,Negative,auto,False,False,0.0,2026-02-24T16:08:26.078606+00:00,{},0,1,0
c161d368-1b26-46ee-8ff5-63956d996bf3,sentiment_0015,Solid product. Nothing extraordinary but reliable and consistent.,sentiment,Positive,0.1429,Positive,auto,False,False,0.0,2026-02-24T16:08:26.078724+00:00,{},1,0,0
79de3564-bbef-41b9-b884-2077f4e4bf9c,sentiment_0016,This product is absolutely amazing! Best purchase I've made this year. 😍 (sample #16),sentiment,Positive,0.4286,Positive,auto,False,False,0.0,2026-02-24T16:08:26.078854+00:00,{},3,0,0
0262aa14-4f01-4bd1-937a-a6d123e2b9d2,sentiment_0017,Terrible quality. Broke after 2 days. Complete waste of money. 😠 (sample #17),sentiment,Negative,0.375,Negative,auto,False,False,0.0,2026-02-24T16:08:26.078970+00:00,{},1,3,0
fbae5505-cea3-4692-82c6-33640604259d,sentiment_0018,"It's okay. Nothing special, but does the job. (sample #18)",sentiment,Neutral,0.3333,Neutral,auto,False,False,0.0,2026-02-24T16:08:26.079152+00:00,{},0,0,1
