id,text
intent_0001,What is the capital city of Brazil?
intent_0002,Buy cheap laptops online free shipping
intent_0003,Log in to my account dashboard
intent_0004,Hey! Can you recommend a good restaurant near me?
intent_0005,How does machine learning work?
intent_0006,Order iPhone 15 Pro Max with discount code
intent_0007,Sign up for the free trial today
intent_0008,Where is the official help center website?
intent_0009,Why is the sky blue? Explain the science.
intent_0010,Download the mobile app for free
intent_0011,"Hello, how are you today?"
intent_0012,Best Python tutorial for beginners 2024
intent_0013,Reset my password account settings
intent_0014,Limited offer: get 50% off all products now
intent_0015,What are the causes of climate change?
