source_id,text,final_label
g001,Earn money fast with this simple trick! Click here!,Spam
g002,Today we visited the botanical garden. Beautiful flowers! 🌸,Safe
g003,Scientists discovered they don't want you to know this cure!,Misinformation
g004,Our office is closed on Monday for a public holiday.,Safe
g005,Win a free iPhone! You've been selected — act now!,Spam
g006,Join us for the community cleanup drive this Saturday.,Safe
g007,100% guaranteed cure with no side effects doctors hate him,Misinformation
g008,Recipe of the week: homemade pasta with basil pesto,Safe
g009,F4F follow back instantly guaranteed,Spam
g010,Team outing at the lake was so much fun! Great weather too.,Safe
