id,text
content_category_0001,EARN $5000 A WEEK FROM HOME! Click here NOW! Limited offer! 🤑
content_category_0002,Check out this amazing recipe for chocolate chip cookies!
content_category_0003,Scientists HATE this one trick that cures all diseases!
content_category_0004,Had a great time at the local farmers market today 🌺
content_category_0005,New update: our app now supports dark mode. Download v2.1 today.
content_category_0006,FREE GIFT for the first 100 subscribers! Act now! No risk!
content_category_0007,Reminder: community meeting tonight at 7pm in the main hall.
content_category_0008,The government is hiding the real data about this virus!
content_category_0009,Beautiful sunset at the beach today 🌅 Nature is amazing.
content_category_0010,WIN WIN WIN! You have been selected for our lottery prize!
content_category_0011,Workshop registration open: Python for Data Science - free seats
content_category_0012,Doctors hate him for discovering this miracle cure with no side effects
content_category_0013,Team lunch today was great! Thanks everyone for coming 🎉
content_category_0014,ADULT CONTENT 18+ — mature themes ahead
content_category_0015,Our quarterly results are now published on the investor relations page.
